slug,title,year,summary,teaser,image,hero_asset_id,subsection,sort_order,status,tags,print_available,print_sizes,print_price_range,product_slug
brighton-by-bench,Brighton by Bench,2022,"100 Tezos tokens — benches as pause and permission, from the university project An Assemblage; for sitting.","100-token bench collection — flagship captured and minted work on Tezos.",/work/photography/series-brighton-by-bench.jpg,,captured,1,published,Tezos|Benches|Brighton,true,A4|A3|50×70cm,from £45,limited-prints
lightworms,Lightworms,2022,"50 Tezos tokens — pond light, larvae glow, and water-surface abstraction.","Luminous fragments of southern light. A 2022 collection exploring abstraction through intimate observation.",/work/photography/series-lightworms.jpg,,captured,2,published,Tezos|Light|Pond,false,,,
india-2016,India 2016 archive,2016,"First Canon 400D journey — Agra, Taj Mahal region, architecture, travel, and cultural scenes.","First Canon 400D journey — Agra and travel at the DSLR turning point.",/work/photography/series-india-2016.jpg,,captured,3,published,India|Travel|Canon 400D,false,,,
hicetnunc,Hic Et Nunc mints,2021,"Hic Et Nunc mint archive — individual tokens, not featured on the photography hub until curated into named series.",,,,captured,10,draft,,false,,,
birds-in-brighton,Birds in Brighton,,Brighton bird studies — draft series.,,,,captured,11,draft,,false,,,
bristol-rainshine,Bristol Rainshine,,Bristol rainshine triptych — draft series.,,,,captured,12,draft,,false,,,
brighton-triptychs,Brighton triptychs,,Brighton portrait and landscape triptychs — draft series.,,,,captured,13,draft,,false,,,
brighton-sunshine,Brighton sunshine,,Brighton sunshine walk — draft series.,,,,captured,14,draft,,false,,,
murder-of-crows,A Murder of Crows,,Crow sequence — draft series.,,,,captured,15,draft,,false,,,
animation,Animation,,Frame animations — draft series.,,,,captured,16,draft,,false,,,
black-and-whites,Black and Whites,,Black and white studies — draft series.,,,,captured,17,draft,,false,,,
ucm,Unintentional camera movements,,UCM experiments — draft series.,,,,captured,18,draft,,false,,,
macro,Macro,,Macro study — draft series.,,,,captured,19,draft,,false,,,
BAE,Blockchain Art Exchange,2021,Ethereum mints via Blockchain Art Exchange.,,,,captured,20,draft,,false,,,
Kalamint,Kalamint,2021,Kalamint platform mints.,,,,captured,21,draft,,false,,,
versum,Versum,2022,Versum platform mints.,,,,captured,22,draft,,false,,,
fxtext,fx(text),2022,fx(text) mints.,,,,captured,23,draft,,false,,,
Photographs,Photographs,,General photograph mints.,,,,captured,24,draft,,false,,,
Photez Thematic v1 - Orange,Photez Thematic v1 — Orange,,Photez thematic collection.,,,,captured,25,draft,,false,,,
Photez Thematic v2 - Have a Seat,Photez Thematic v2 — Have a Seat,,Photez thematic collection.,,,,captured,26,draft,,false,,,
Photez Thematic v3 - Reflections,Photez Thematic v3 — Reflections,,Photez thematic collection.,,,,captured,27,draft,,false,,,
Photez Thematic v4 - Tezos4Nature,Photez Thematic v4 — Tezos4Nature,,Photez thematic collection.,,,,captured,28,draft,,false,,,
Photez Thematic v5 - Gestalt,Photez Thematic v5 — Gestalt,,Photez thematic collection.,,,,captured,29,draft,,false,,,
Photez for #1of1,Photez for #1of1,,Photez 1/1 mints.,,,,captured,30,draft,,false,,,
Photez Thematic v7 - Shadows,Photez Thematic v7 — Shadows,,Photez thematic collection.,,,,captured,31,draft,,false,,,
Photez Thematic v8 - The Upside Down,Photez Thematic v8 — The Upside Down,,Photez thematic collection.,,,,captured,32,draft,,false,,,
street-photography,Street photography,,Non-minted street and sign work.,,,,captured,33,draft,,false,,,
archive,Archive,,Draft catalogue entries not yet assigned to a series.,,,,captured,34,draft,,false,,,
