slug,title,category,date,year,summary,status
"the-problem-of-value","The Problem of Value","photography","2 Apr 2021","2021","Idle thoughts after watching a video about Bitcoin, value, and relational pricing.","published"
"crypto-art-value-paradigm","Cryptoart, Value, and a Cultural Paradigm Shift","photography","10 Mar 2021","2021","NFTs, physical works, and the shifting structure of how art holds value.","published"
"nationalism","Nationalism, or how to love your nation","reflections","2021","2021","Notes on nationhood, moral order, and collective identity.","published"
"god-metaphysical-reality","God is a metaphysical reality, not a superhero","reflections","8 Mar 2021","2021","Metaphysics, representation, and what we mean when we speak of God.","published"
"poverty-of-the-input","On the poverty of the input","reflections","2021","2021","Limits of input, models, and what gets left out of systems.","published"
"strata-judgements-of-god","The Strata are Judgements of God","reflections","25 Feb 2021","2021","Layered judgements, metaphysics, and structural readings of value.","published"
"strata-notes","Notes on The Strata are Judgements of God","reflections","2021","2021","Working notes and references for the Strata essay.","published"
"nature-stars-sky","Nature, Stars, and the Sky","reflections","2021","2021","Photographic notes on landscape, night sky, and observation.","published"
"ur-antifascism","Ur-AntiFascism","reflections","2021","2021","Research notes on antifascism and historical lineages.","published"
"crypto-art-research","Crypto (research)","photography","2021","2021","Research fragments on crypto-art and tokenisation.","published"
"firmament-godhead","Firmament and the Godhead","reflections","2020","2020","Extended essay on firmament, metaphysics, and the Godhead.","published"
"universities","We Need to Talk about the Universities","reflections","2020","2020","Critique of universities, credentials, and institutional learning.","published"
"rhizome-dota-ti9","Researching via Rhizomatisation (Dota 2)","reflections","2019","2019","Rhizomatic research through Dota 2 and The International 9.","published"
"poems-blink","Poems — Blink","reflections","2020","2020","Poetry from the Blink sequence.","published"
"poems-fractionation","Poems — Fractionation","reflections","2020","2020","Poetry from the Fractionation sequence.","published"
"archive-editing-2025","Archive editing (2025)","photography","2024–2025","2025","Consolidation, Bristol trip edits, benches revisits, and cross-practice links with Plotter and Nursery.","published"
"polargraph-process-notes","Polargraph process notes","plotter","2023–","2023","Build log for the DIY polargraph — cord, gondola, materials, software, and rebuild lessons.","published"
